Rank,S.No,Name,Student ID,Prerequisites,CGPA,Attendance,Ranking Score
1,9,James Clark,S009,COS105,8.60,95,25.88
2,4,Emily Brown,S004,CICS101,8.00,92,24.80
3,2,Alice Smith,S002,CICS101,7.80,90,24.24
4,7,David Martinez,S007,CPF102,8.20,87,23.96
5,1,John Doe,S001,CICS101,8.50,85,23.80
6,5,Michael Lee,S005,CDS103,7.50,88,23.60
7,8,Sophia Robinson,S008,CDBMS104,7.70,82,22.56
8,3,Sam Johnson,S003,CPF102,7.20,80,21.76
9,10,Emma Taylor,S010,COS105,7.00,78,21.20
10,6,Lisa Garcia,S006,CICS101,6.90,75,20.52
